id,date,uploaded,eyebrow,title,body,image,bg,link,status,credit,credit_href
COMM/NEWS/1,2026-09-05,no,Network · Growing,BridgeBuilder Network,A growing network of young people building small bridges in their own neighborhoods.,,magenta,Community-BridgeBuilders.EN.dc.html,live,,
COMM/NEWS/2,2026-08-15,no,Online · Every two months,BridgeBuilder Virtual Lab,"Online labs where BridgeBuilders across countries share what they’re discovering, every two months.",,red,Community-BridgeBuilders.EN.dc.html,live,,
COMM/NEWS/3,2026-07-20,yes,"Sindhuli, Nepal",Sindhuli Storytelling Festival,"The StoryCycle group, led by Saurav Dhakal, is preparing a festival to celebrate the folk stories of Sindhuli village, connecting elders and youth.",community-img/nepal-storytelling.jpg,green,Community-Nepal-Youth-Cluster.EN.dc.html,live,,
COMM/NEWS/4,2026-06-10,no,"Yamaguchi, Japan",Yamaguchi Family Festival,"A family-focused community in Yamaguchi City uses music and song to support children’s spiritual wellbeing — learning, practicing, and celebrating life together.",,amber,Community-Animators.EN.dc.html,live,,
COMM/NEWS/5,2026-05-22,no,"Beijing, China",Junior Youth Space,"Young people from many nationalities gather for meaningful conversation on virtues and community wellbeing, designing their own neighborhood service projects — a model of belonging that doesn’t require sameness.",,magenta,Project-Asia-Exchange.EN.dc.html,live,,
COMM/NEWS/6,2026-04-18,no,"Taichung, Taiwan",Animators in Caotun,"Junior Youth animators are becoming an everyday presence in Caotun’s schools and neighborhoods, and Möbius Making was delivered in Chinese to high schoolers and teachers — the practice travels across language.",,deep-blue,Project-Asia-Exchange.EN.dc.html,live,,
